date,load
2021-09-13 07:00:00,6271.315
2021-09-13 08:00:00,6767.8374
2021-09-13 09:00:00,7176.6514
2021-09-13 10:00:00,7481.331
2021-09-13 11:00:00,7636.8506
2021-09-13 12:00:00,7944.388
2021-09-13 13:00:00,8121.549
2021-09-13 14:00:00,8035.128
2021-09-13 15:00:00,8327.554
2021-09-13 16:00:00,8241.703
2021-09-13 17:00:00,8379.824
2021-09-13 18:00:00,8228.346
2021-09-13 19:00:00,8155.19
2021-09-13 20:00:00,7973.1606
2021-09-13 21:00:00,7792.567
2021-09-13 22:00:00,7235.4404
2021-09-13 23:00:00,6208.217
