date,load
2021-09-13 06:00:00,4795.042
2021-09-13 07:00:00,5263.255
2021-09-13 08:00:00,5773.457
2021-09-13 09:00:00,6169.511
2021-09-13 10:00:00,6260.1855
2021-09-13 11:00:00,6353.968
2021-09-13 12:00:00,6413.1035
2021-09-13 13:00:00,6515.313
2021-09-13 14:00:00,6445.342
2021-09-13 15:00:00,6416.6396
2021-09-13 16:00:00,6426.1416
2021-09-13 17:00:00,6346.4507
2021-09-13 18:00:00,6313.546
2021-09-13 19:00:00,6057.946
2021-09-13 20:00:00,5920.6763
2021-09-13 21:00:00,5763.9766
2021-09-13 22:00:00,5467.981
2021-09-13 23:00:00,5218.029
